"subjectid" "activitylabel" "bodyaccelerationmeanalongx" "bodyaccelerationmeanalongy" "bodyaccelerationmeanalongz" "bodyaccelerationstandarddeviationalongx" "bodyaccelerationstandarddeviationalongy" "bodyaccelerationstandarddeviationalongz" "gravityaccelerationmeanalongx" "gravityaccelerationmeanalongy" "gravityaccelerationmeanalongz" "gravityaccelerationstandarddeviationalongx" "gravityaccelerationstandarddeviationalongy" "gravityaccelerationstandarddeviationalongz" "bodyangularvelocitymeanalongx" "bodyangularvelocitymeanalongy" "bodyangularvelocitymeanalongz" "bodyangularvelocitystandarddeviationalongx" "bodyangularvelocitystandarddeviationalongy" "bodyangularvelocitystandarddeviationalongz"
27 "SITTING" 0.269525078480053 -0.0138487249823936 -0.100185209679255 -0.980951526755319 -0.924357639526596 -0.934267250196809 0.880508402925532 0.0567359578355125 0.174956063348936 -0.976921969893617 -0.95235157006117 -0.945280366066489 -0.0407401937210106 -0.0706174478404255 0.0741973309642021 -0.980223959015957 -0.966975234042553 -0.952031235957447
28 "SITTING" 0.275977997427184 -0.0131170935157767 -0.107154082490291 -0.989331673058252 -0.953421698495146 -0.954343382184466 0.922281830825243 0.122052450121359 0.13260994325 -0.989446289271845 -0.972865145291262 -0.959320659252427 -0.0363906395373786 -0.0705608725786408 0.0726833877737379 -0.985032292572816 -0.974922368980582 -0.964350668543689
2 "STANDING" 0.278862480298013 -0.0167032282945695 -0.109492104850331 -0.989645370430464 -0.946760790397351 -0.953716775562914 0.946168775264901 -0.170152338311258 0.0290399183845493 -0.991225858609271 -0.975697027516556 -0.962371556456954 -0.026250965036755 -0.0695328550905629 0.0794090553043046 -0.959597301357616 -0.971784549072848 -0.968296963774834
4 "STANDING" 0.278804418264984 -0.0165873135977918 -0.103463915215457 -0.982578503470032 -0.9138584370347 -0.927844490157729 0.951236140094637 -0.14504349009694 0.0566513235661199 -0.988803135425868 -0.961036778328076 -0.944176363769716 -0.0276432368819874 -0.0696155590713565 0.0851065982637224 -0.92882859362776 -0.957430522902208 -0.942977351451104
9 "STANDING" 0.276963759618056 -0.0174322922023611 -0.107860790409722 -0.9837217409375 -0.928963391527778 -0.943503447142361 0.949428234722222 -0.186638139045139 -0.0130560882384028 -0.9901326465625 -0.972630281979167 -0.961016182118056 -0.0274088668063194 -0.0744833266045486 0.0847174595652778 -0.929397010277778 -0.957588543020833 -0.954703571145833
10 "STANDING" 0.281967178333333 -0.0134068538250833 -0.10449397584375 -0.980088911354167 -0.920947405833333 -0.9242061665625 0.935405422291667 -0.23118723953125 -0.0304950390253125 -0.987760958854167 -0.966906078958333 -0.943906825104167 -0.0279246644301042 -0.0703391305572917 0.0754302294270833 -0.933691781875 -0.940490718645833 -0.952234916666667
28 "STANDING" 0.280458336988636 -0.0128132266348295 -0.104606754861489 -0.976771106136364 -0.911574711022727 -0.919879708465909 0.946168589204545 -0.205329998252273 0.0609968645170455 -0.983318189488636 -0.956962615284091 -0.939594579147727 -0.0264290805582955 -0.0555357621982955 0.0708147139664773 -0.932010857840909 -0.948611653181818 -0.932690727954545
29 "STANDING" 0.280835853139535 -0.0160568229031977 -0.105626730568721 -0.984157545988372 -0.936682206773256 -0.937840851598837 0.940685403517442 -0.170595789070814 -0.0692808701061046 -0.984545789418605 -0.96819263502907 -0.946909973953488 -0.026533685075843 -0.0613397053735465 0.0770929953677326 -0.96098965755814 -0.963443426104651 -0.963184420436046
30 "STANDING" 0.278502551801567 -0.0167015905367624 -0.108219993958956 -0.987258395300261 -0.94814227075718 -0.951324031070496 0.923811111279373 -0.216815333669452 -0.0880593077364491 -0.988577327154047 -0.976112587571802 -0.961205702950392 -0.025643252326658 -0.0702685476055614 0.0813772106788512 -0.955678609477807 -0.968114309791123 -0.968499799007833
1 "WALKING" 0.277915250489914 -0.0175368209698646 -0.110151183691643 -0.304190061230548 0.0682049156273775 -0.292314700778386 0.945798792391931 -0.217435492181556 -0.0637141784494986 -0.978027125331412 -0.965418603948127 -0.953592843717579 -0.0261753871594524 -0.076205788947781 0.0790901824432277 -0.466735313472622 -0.298585817445677 -0.374948487550432
3 "WALKING" 0.27301175627566 -0.018802888781085 -0.109854204753666 -0.329097361246041 -2.57841427272726e-05 -0.252217458049472 0.910145628387097 -0.197635783947214 -0.133656609953079 -0.978009219765396 -0.964912801583578 -0.955128196686217 -0.0214305349214369 -0.0754215857692669 0.072533896228195 -0.470254931129032 -0.364767106630381 -0.297326142693842
5 "WALKING" 0.277792059337748 -0.0176042237180232 -0.109231566519868 -0.315801967111291 -0.0484015148193378 -0.193484560829801 0.92857235410596 -0.201008936837748 -0.0111900758344371 -0.975375303675497 -0.965702507649007 -0.9512318 -0.0258648858883444 -0.0769390852942715 0.0906279942458609 -0.402161777669536 -0.33419767934106 -0.322460663180132
6 "WALKING" 0.276730577138462 -0.016968256624292 -0.105591943546769 -0.336072590067692 -0.131293658057569 -0.300644278744615 0.947558583230769 -0.199578776861538 0.00262409750981538 -0.978391353015385 -0.971940022830769 -0.954236825661538 -0.0552594611022769 -0.0525313728448308 0.0954445389052308 -0.527029783292308 -0.375614497286769 -0.343929759161231
7 "WALKING" 0.276863110454545 -0.0172140716103214 -0.108568542461039 -0.275339966388961 -0.0668762777535714 -0.329377627790455 0.943679134675325 -0.160048314153896 -0.0434168852311039 -0.978186277824675 -0.968475459188312 -0.957160634253247 -0.0451975852352922 -0.0649740425969903 0.0946002569094481 -0.491953658214286 -0.407921079844156 -0.364238433811688
8 "WALKING" 0.274889100909091 -0.0222768856979798 -0.111788845777778 -0.349910135383838 0.137549927439394 -0.269315397030303 0.933990843939394 -0.212465072474747 -0.0919411040606061 -0.977267988282828 -0.961210578383838 -0.95976897040404 -0.0375640261989899 -0.0713014195125252 0.0910315217616162 -0.430505099979798 -0.227115000880808 -0.302701427474747
17 "WALKING_DOWNSTAIRS" 0.287501317333333 -0.016237154789823 -0.106242251249558 0.117256386609649 0.0961881196023304 -0.20126093616646 0.931036247905605 -0.187960548790855 -0.0562851869334009 -0.951945158820059 -0.935127958466077 -0.9136775920059 -0.0933490069759587 -0.0493469147463127 0.0929829062635988 -0.350203798360177 -0.290600499379351 -0.22617126099587
19 "WALKING_DOWNSTAIRS" 0.288255963158333 -0.0161904394091167 -0.105959222580772 0.224867256226667 0.152012364069972 -0.0439065510244444 0.902124765861111 -0.17875023165 -0.112311008618333 -0.940581485138889 -0.937663154277778 -0.9093009625 -0.0655294339508333 -0.0578287542630556 0.0863127680692222 -0.305611155866389 -0.254009698897778 -0.246528383738889
21 "WALKING_DOWNSTAIRS" 0.286890241061275 -0.0167913169253333 -0.105417681288971 0.0627213921943627 -0.0286606199209559 -0.275575445056863 0.93550191122549 -0.138015886984902 0.0286686556839706 -0.953454978921569 -0.931779741446078 -0.908810921764706 -0.0792530422564583 -0.0562854454409534 0.0987662424295343 -0.31063976588701 -0.425761181865196 -0.335128507345735
22 "WALKING_DOWNSTAIRS" 0.290416824632107 -0.0158888169755401 -0.105448118008696 -0.015434762632107 0.027045729379097 -0.240142274753344 0.938221163210702 -0.175725628230435 -0.0656563749599666 -0.953239104916388 -0.932591499832776 -0.91986499458194 -0.10227898756388 -0.0468112015605017 0.10109403038592 -0.380826895292977 -0.380782919411371 -0.272294407306355
8 "WALKING_UPSTAIRS" 0.259824214214286 -0.0289697130474176 -0.107634683614286 -0.225029736445055 0.0714727883686813 -0.262371175175275 0.905217263406593 -0.338144436593407 -0.0817749318262088 -0.952258482417582 -0.919691192472528 -0.914107349120879 0.0406113761010989 -0.13326917717967 0.0421558256196703 -0.470072080159341 -0.35609420795989 -0.404033592769231
11 "WALKING_UPSTAIRS" 0.261294208756329 -0.0256093636514873 -0.119524999063608 -0.222070152788038 0.0241917047094937 -0.0414877734901899 0.837961486708861 -0.289356989018987 -0.188110038619937 -0.94175907 -0.926164834177215 -0.895427013544304 0.0193554590502215 -0.0911457052022152 0.0348591998337342 -0.419398056335443 -0.216829279394304 -0.170768293173101
14 "WALKING_UPSTAIRS" 0.259018526326316 -0.0269333431827245 -0.12679808958483 -0.203905168769845 0.0223223755793498 -0.171093642461919 0.862805863529412 -0.282746924613003 -0.176080801154985 -0.941699076996904 -0.924223675108359 -0.902297375882353 0.0563568767481734 -0.117341756138012 0.0305102495248607 -0.479455960886687 -0.411209728334365 -0.206922427818638
15 "WALKING_UPSTAIRS" 0.26598905314939 -0.0256993431541768 -0.126329489231402 -0.248533852583841 -0.0784402848692073 -0.155678791898841 0.89095085875 -0.275463102469512 -0.107151082418695 -0.951931072865854 -0.929788478506098 -0.89111178804878 -0.035772358882622 -0.050645014840061 0.0913333451925915 -0.477908664478659 -0.359411350319207 -0.237230164402744
16 "WALKING_UPSTAIRS" 0.262914496535519 -0.0244443077301713 -0.117587792186339 -0.27150343191694 -0.0644400943432787 -0.265070860069945 0.886506819535519 -0.251585680571038 -0.12227009999744 -0.952283577868852 -0.924800505601093 -0.908007861147541 -0.033005752860929 -0.0702521101003825 0.0909125694428962 -0.480623010236885 -0.360181022370738 -0.235678607533552
17 "WALKING_UPSTAIRS" 0.275581471724138 -0.0201738120172414 -0.11455764362069 -0.330202113103448 -0.113912570586207 -0.230718006896552 0.899316179310345 -0.265785431034483 -0.216971996896552 -0.971121510689655 -0.931873731724138 -0.936627744137931 0.091020496137931 -0.117121629324138 0.0242077228517241 -0.564695794827586 -0.539061793793103 -0.266774327241379
